date,min_price,modal_price,max_price
2023-04-12,4631.0,6069.916666666667,6714.666666666667
2023-04-13,4474.5,6071.571428571428,7011.142857142857
2023-04-14,5400.333333333333,5433.666666666667,5450.333333333333
2023-04-15,4692.1,6300.6,6883.7
2023-04-16,5000.428571428572,6093.571428571428,6420.142857142857
2023-04-17,4470.307692307692,6029.923076923077,6787.384615384615
2023-04-18,4085.0666666666666,5855.733333333334,6561.933333333333
2023-04-19,4373.066666666667,5945.133333333333,6722.333333333333
2023-04-20,5293.5,5890.5,6367.833333333333
2023-04-21,4578.307692307692,6072.538461538462,6741.384615384615
2023-04-22,5050.2,5814.4,6272.4
2023-04-23,5305.333333333333,5941.833333333333,6301.0
2023-04-24,4370.642857142857,6014.0,6740.357142857143
2023-04-25,4675.538461538462,6159.0,6689.0
